#defaultCSS=fill:#aa00ff; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
ShipDetections	geometry:Point	Detected_x:Integer	Detected_y:Integer	Detected_lat:Double	Detected_lon:Double	Detected_width:Double	Detected_length:Double	style_css:String
target_076	POINT (14345 936)	14345	936	24.861202810454714	67.35616952882997	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_077	POINT (14462 973)	14462	973	24.85973531818047	67.34405080324262	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_078	POINT (14574 999)	14574	999	24.85925237842148	67.33273505079349	90.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_079	POINT (15120 921)	15120	921	24.87514672646397	67.2809563862412	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_080	POINT (15220 980)	15220	980	24.87149230401429	67.27021012205694	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_081	POINT (15691 772)	15691	772	24.897901052424785	67.22813006168016	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_082	POINT (16301 854)	16301	854	24.900359987836815	67.16719131598232	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_083	POINT (16732 773)	16732	773	24.914647841525706	67.12668592814485	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_084	POINT (16554 943)	16554	943	24.89642876594379	67.14099814746247	110.0	100.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_085	POINT (16844 918)	16844	918	24.903371897828222	67.11320900723003	30.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_086	POINT (16918 977)	16918	977	24.89929080473091	67.10494658177913	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_087	POINT (16760 1091)	16760	1091	24.886417385235703	67.11826790548432	70.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_088	POINT (17167 796)	17167	796	24.919582946767814	67.0839483558784	90.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_089	POINT (17377 948)	17377	948	24.909273454270373	67.06070825709311	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_090	POINT (17220 1032)	17220	1032	24.899211768260265	67.07449488261517	80.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_091	POINT (17828 1035)	17828	1035	24.908705094428182	67.01522044758418	20.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_092	POINT (17806 1049)	17806	1049	24.907079833121617	67.01716006912146	30.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_093	POINT (18149 1019)	18149	1019	24.915303233126185	66.98428992290685	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_094	POINT (17991 1063)	17991	1063	24.90880007018701	66.99889152391279	70.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_095	POINT (18496 948)	18496	948	24.927319166923617	66.95176797249748	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_096	POINT (18326 956)	18326	956	24.923824224167785	66.96817710579528	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_097	POINT (18952 1001)	18952	1001	24.929868240309006	66.90634717275917	60.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_098	POINT (20750 807)	20750	807	24.976029680885926	66.73456374139023	180.0	200.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_099	POINT (3125 1160)	3125	1160	24.65384804023801	68.44211912861245	40.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_100	POINT (3118 1169)	3118	1169	24.652953167794795	68.44268503204918	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_101	POINT (3122 1175)	3122	1175	24.65247970934196	68.44218284345966	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_102	POINT (13750 1164)	13750	1164	24.83091334057753	67.40990308539466	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_103	POINT (13684 1225)	13684	1225	24.824338697210486	67.41516044478226	80.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_104	POINT (13642 1282)	13642	1282	24.818501500456264	67.4182531284613	50.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_105	POINT (13722 1354)	13722	1354	24.813317865301023	67.40915666148454	70.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_106	POINT (13684 1417)	13684	1417	24.807021379909553	67.41165320159561	40.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_107	POINT (14389 1164)	14389	1164	24.841311514355912	67.34772491370788	110.0	200.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_108	POINT (14399 1172)	14399	1172	24.840761109860676	67.3465574375824	80.0	180.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
